Date,oz
2010-01-04,3669
2010-01-05,3711
2010-01-07,3746
2010-01-08,3717
2010-01-11,3786
2010-01-12,3913
2010-01-13,3866
2010-01-14,3878
2010-01-15,3894
2010-01-18,3866
2010-01-19,3867
2010-01-20,3887
2010-01-21,3833
2010-01-22,3777
2010-01-25,3812
2010-01-26,3810
2010-01-27,3827
2010-01-28,3805
2010-01-29,3779
2010-02-01,3776
2010-02-02,3849
2010-02-03,3885
2010-02-04,3852
2010-02-05,3761
2010-02-08,3745
2010-02-09,3734
2010-02-10,3760
2010-02-11,3752
2010-02-12,3810
2010-02-17,3876
2010-02-18,3823
2010-02-19,3836
2010-02-22,3909
2010-02-23,3862
2010-02-24,3838
2010-02-25,3810
2010-03-01,3866
2010-03-02,3862
2010-03-03,3906
2010-03-04,3913
2010-03-05,3881
2010-03-09,3827
2010-03-10,3819
2010-03-11,3755
2010-03-12,3723
2010-03-13,3761
2010-03-14,3802
2010-03-18,3775
2010-03-19,3800
2010-03-22,3734
2010-03-23,3746
2010-03-24,3739
2010-03-26,3690
2010-03-30,3695
2010-03-31,3682
2010-04-01,3796
2010-04-02,3721
2010-04-05,3719
2010-04-06,3705
2010-04-07,3704
2010-04-08,3767
2010-04-09,3750
2010-04-12,3785
2010-04-13,3790
2010-04-14,3760
2010-04-15,3760
2010-04-16,3786
2010-04-19,3718
2010-04-21,3725
2010-04-22,3751
2010-04-23,3726
2010-04-26,3742
2010-04-27,3749
2010-04-28,3821
2010-04-30,3811
2010-05-03,3851
2010-05-04,3861
2010-05-05,3857
2010-05-06,3897
2010-05-07,4047
2010-05-10,3965
2010-05-11,3929
2010-05-12,4021
2010-05-13,4030
2010-05-14,4025
2010-05-17,4053
2010-05-18,4034
2010-05-19,4047
2010-05-20,3966
2010-05-21,3985
2010-05-24,3993
2010-05-25,4048
2010-05-26,4116
2010-05-27,4112
2010-05-31,4028
2010-06-01,4054
2010-06-02,4129
2010-06-03,4077
2010-06-04,4028
2010-06-07,4127
2010-06-08,4205
2010-06-09,4203
2010-06-10,4172
2010-06-11,4070
2010-06-14,4091
2010-06-15,4058
2010-06-16,4088
2010-06-18,4150
2010-06-21,4119
2010-06-22,4048
2010-06-23,4076
2010-06-24,4068
2010-06-25,4103
2010-06-28,4137
2010-06-29,4083
2010-06-30,4129
2010-07-01,4104
2010-07-02,3948
2010-07-05,3983
2010-07-06,3977
2010-07-07,3899
2010-07-08,3930
2010-07-09,3890
2010-07-12,3941
2010-07-13,3904
2010-07-14,3936
2010-07-15,3955
2010-07-16,3949
2010-07-19,3925
2010-07-20,3890
2010-07-21,3897
2010-07-22,3898
2010-07-23,3902
2010-07-26,3876
2010-07-27,3858
2010-07-28,3786
2010-07-29,3798
2010-07-30,3803
2010-08-02,3807
2010-08-03,3807
2010-08-04,3834
2010-08-05,3864
2010-08-06,3844
2010-08-09,3857
2010-08-10,3855
2010-08-11,3870
2010-08-12,3899
2010-08-13,3930
2010-08-16,3956
2010-08-17,3960
2010-08-18,3943
2010-08-19,3928
2010-08-20,3940
2010-08-23,3929
2010-08-24,3904
2010-08-25,3950
2010-08-26,3967
2010-08-27,3963
2010-08-30,3947
2010-09-01,3996
2010-09-02,3969
2010-09-03,3985
2010-09-06,3961
2010-09-07,3976
2010-09-08,4007
2010-09-09,3980
2010-09-13,3931
2010-09-14,3950
2010-09-15,4016
2010-09-17,4044
2010-09-20,4040
2010-09-21,4046
2010-09-22,4061
2010-09-23,4072
2010-09-24,4091
2010-09-27,4087
2010-09-28,4077
2010-09-29,4117
2010-09-30,4119
2010-10-01,4115
2010-10-04,4147
2010-10-05,4150
2010-10-06,4228
2010-10-07,4238
2010-10-08,4223
2010-10-11,4260
2010-10-12,4287
2010-10-13,4271
2010-10-14,4326
2010-10-15,4340
2010-10-18,4285
2010-10-19,4319
2010-10-20,4262
2010-10-21,4271
2010-10-22,4213
2010-10-25,4228
2010-10-26,4234
2010-10-27,4249
2010-10-28,4212
2010-10-29,4248
2010-11-01,4302
2010-11-02,4274
2010-11-03,4271
2010-11-04,4240
2010-11-08,4395
2010-11-09,4449
